Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1985	25.0	16.0	20.3		467	
1/2/1985	34.2	13.9	21.7		338	
1/3/1985	26.1	12.0	20.9		169	
1/4/1985	27.5	15.8	20.4		169	
1/5/1985	27.5	15.6	22.5		173	
1/6/1985	28.1	14.9	21.4	0	227	
1/7/1985	26.6	17.0	22.1		351	
1/8/1985	26.1	14.0	18.9	0.8890	173	
1/9/1985	28.0	15.4	21.8	0.4064	102	
1/10/1985	28.0	15.4	21.8		102	
1/11/1985	28.0	15.4	21.8		102	
1/12/1985	28.0	15.4	21.8		102	
1/13/1985	28.0	15.4	21.8		102	
1/14/1985	28.0	20.0	25.3		209	
1/15/1985	28.0	20.0	25.3		209	
1/16/1985	28.0	20.0	25.3		209	
1/17/1985	28.0	20.0	25.3		209	
1/18/1985	26.5	14.5	24.6		222	
1/19/1985	19.3	17.2	18.1		378	
1/20/1985	19.3	17.2	18.1		378	
1/21/1985	19.8	15.8	18.0		507	
1/22/1985	28.0	16.0	26.6		249	
1/23/1985	26.0	17.7	21.6		209	
1/24/1985	24.1	17.7	18.2	4.8006	133	
1/25/1985	22.0	15.2	19.2	1.3970	120	
1/26/1985	25.0	15.5	20.5	0	209	
1/27/1985	27.0	15.0	20.4		196	
1/28/1985	22.2	14.8	19.7	0.8890	98	
1/29/1985	22.5	15.0	17.0	0	182	
1/30/1985	23.9	15.0	19.1	2.3114	53	
1/31/1985	23.0	16.0	18.7	0.1016	147	
2/1/1985	25.0	17.0	20.2	0	196	
2/2/1985	21.1	15.8	18.3		249	
2/3/1985	20.0	14.9	16.8	0.5080	187	
2/4/1985	20.0	14.9	16.8		187	
2/5/1985	20.0	14.9	16.8		187	
2/6/1985	20.0	14.9	16.8		187	
2/7/1985	20.0	14.9	16.8		187	
2/8/1985	19.4	17.0	18.1		267	
2/9/1985	19.4	17.0	18.1		267	
2/10/1985	19.4	17.0	18.1		267	
2/11/1985	19.4	17.0	18.1		267	
2/12/1985	25.0	16.2	20.3		107	
2/13/1985	24.6	17.0	20.6	0	133	
2/14/1985	25.0	16.3	19.9	0	178	
2/15/1985	24.0	16.4	21.5		169	
2/16/1985	24.0	16.0	20.0	0	178	
2/17/1985	24.0	16.0	20.0		178	
2/18/1985	24.6	18.6	21.7	0	120	
2/19/1985	25.3	17.2	20.8		111	
2/20/1985	26.0	18.0	21.4		133	
2/21/1985	26.5	17.0	22.6		169	
2/22/1985	25.0	18.0	21.6		204	
2/23/1985	26.6	17.2	22.5		142	
2/24/1985	28.4	12.0	22.4		147	
2/25/1985	24.5	15.5	18.8	0.0254	182	
2/26/1985	25.6	15.0	21.4	0	276	
2/27/1985	23.4	14.2	18.9	0.5080	213	
2/28/1985	25.0	16.4	20.7	0.2032	196	
3/1/1985	25.0	14.5	20.6	3.3020	262	
3/2/1985	24.0	15.0	20.2	0.8890	120	
3/3/1985	24.0	15.0	20.2		120	
3/4/1985	24.0	15.0	20.2		120	
3/5/1985	26.0	15.6	23.0	0.8890	244	
3/6/1985	27.0	14.4	20.1	0.0508	440	
3/7/1985	26.0	17.0	22.8	0	347	
3/8/1985	27.0	15.5	20.8		227	
3/9/1985	28.0	15.1	20.2		565	
3/10/1985	28.0	14.9	23.6		578	
3/11/1985	26.3	17.1	22.9		445	
3/12/1985	28.3	20.0	25.3		369	
3/13/1985	29.0	15.0	22.2		351	
3/14/1985	28.3	15.0	27.8		213	
3/15/1985	30.5	17.2	25.2		347	
3/16/1985	30.4	18.3	23.6	0	302	
3/17/1985	30.3	18.1	27.5		333	
3/18/1985	26.3	16.1	20.8		243	
3/19/1985	26.2	16.1	20.7		235	
3/20/1985	26.1	16.1	20.6		225	
3/21/1985	25.9	16.1	20.4		225	
3/22/1985	25.9	16.1	20.3		224	
3/23/1985	25.7	16.1	20.0		214	
3/24/1985	25.5	16.1	19.9		213	
3/25/1985	25.5	16.1	19.9		219	
3/26/1985	25.6	16.2	19.9		228	
3/27/1985	25.6	16.2	19.8		234	
3/28/1985	25.6	16.2	19.8		239	
3/29/1985	25.3	16.2	19.6		245	
3/30/1985	23.0	15.0	18.1		236	
3/31/1985	21.0	14.8	17.2	2.3876	80	
4/1/1985	21.0	14.8	17.2		80	
4/2/1985	19.1	15.6	17.1	1.6002	80	
4/3/1985	19.1	15.6	17.1		80	
4/4/1985	19.1	15.6	17.1		80	
4/5/1985	19.1	15.6	17.1		80	
4/6/1985	19.1	15.6	17.1		80	
4/7/1985	19.1	15.6	17.1		80	
4/8/1985	23.8	15.0	16.9		93	
4/9/1985	20.0	15.0	17.8	0.8890	133	
4/10/1985	23.2	15.0	17.6	0	107	
4/11/1985	21.0	16.0	17.9	0.6096	320	
4/12/1985	21.8	15.8	18.4	0.2032	133	
4/13/1985	21.8	15.8	18.4		133	
4/14/1985	21.8	15.8	18.4		133	
4/15/1985	23.6	14.4	18.2	0	111	
4/16/1985	23.6	14.4	18.2		111	
4/17/1985	22.8	16.0	18.8	1.3970	204	
4/18/1985	22.8	16.0	18.8		204	
4/19/1985	22.8	16.0	18.8		204	
4/20/1985	22.8	16.0	18.8		204	
4/21/1985	22.8	16.0	18.8		204	
4/22/1985	23.6	16.0	18.8	0.2032	138	
4/23/1985	21.6	15.6	18.4	0.8890	107	
4/24/1985	21.7	15.6	16.1	0.4064	98	
4/25/1985	21.7	15.6	16.1		98	
4/26/1985	21.7	15.6	16.1		98	
4/27/1985	24.7	13.9	20.9	0.1016	178	
4/28/1985	22.9	15.7	18.9	0	178	
4/29/1985	25.4	15.8	20.1	0.2032	236	
4/30/1985	24.6	16.0	18.8	0	627	
5/1/1985	24.6	15.4	20.2	0.1016	164	
5/2/1985	24.2	15.3	20.0	0	533	
5/3/1985	24.2	16.0	21.2		356	
5/4/1985	25.0	16.1	21.7	0	445	
5/5/1985	24.4	14.9	20.7		338	
5/6/1985	24.9	14.6	20.7		169	
5/7/1985	22.6	15.0	19.8		133	
5/8/1985	23.0	14.0	21.0	2.3114	236	
5/9/1985	27.0	15.6	21.7	0.2032	98	
5/10/1985	24.8	15.7	18.7	1.7018	249	
5/11/1985	25.0	13.8	19.3	1.7018	151	
5/12/1985	23.1	15.2	18.2	0	76	
5/13/1985	18.3	14.4	16.3	0.4064	191	
5/14/1985	26.1	18.0	21.0	0	182	
5/15/1985	22.1	16.1	19.3		298	
5/16/1985	22.1	16.1	19.3		298	
5/17/1985	22.3	13.8	17.9	1.2954	102	
5/18/1985	23.0	14.4	17.1	1.0922	262	
5/19/1985	23.0	14.4	17.1		262	
5/20/1985	23.5	14.0	20.7		204	
5/21/1985	23.5	14.0	20.7		204	
5/22/1985	24.1	15.4	19.4	1.3970	244	
5/23/1985	24.2	15.2	18.5	0.3048	289	
5/24/1985	24.8	16.3	20.4	0	147	
5/25/1985	24.6	16.1	19.4		178	
5/26/1985	22.0	14.5	17.8		213	
5/27/1985	24.3	15.3	20.1		213	
5/28/1985	24.1	15.8	20.0		253	
5/29/1985	24.0	15.4	20.2		204	
5/30/1985	25.0	15.5	20.9	0.2032	164	
5/31/1985	24.5	16.0	20.1	0	178	
6/1/1985	24.7	15.0	18.5	0.4064	196	
6/2/1985	24.3	16.0	17.7	0.2032	342	
6/3/1985	22.0	15.7	18.4	0.6096	404	
6/4/1985	23.0	15.5	20.8	0.2032	187	
6/5/1985	24.6	16.0	20.7	0	271	
6/6/1985	25.6	15.0	19.9	0.4064	164	
6/7/1985	25.6	14.7	19.7	1.3970	204	
6/8/1985	24.9	15.8	19.3	0	369	
6/9/1985	24.7	15.4	19.4	0.7112	244	
6/10/1985	24.5	14.6	18.7	0.4064	267	
6/11/1985	23.0	14.0	19.7	0.7874	116	
6/12/1985	24.0	14.7	22.4	0.7112	124	
6/13/1985	25.0	15.7	20.9	0	182	
6/14/1985	22.2	16.0	18.7	0.0508	191	
6/15/1985	23.6	14.8	17.3	0.4064	231	
6/16/1985	23.6	14.8	17.3		231	
6/17/1985	20.0	15.0	17.9	0.4064	182	
6/18/1985	27.6	15.0	18.4	0	107	
6/19/1985	27.6	15.0	18.4		107	
6/20/1985	27.6	15.0	18.4		107	
6/21/1985	22.6	16.4	18.1		133	
6/22/1985	22.6	16.4	18.1		133	
6/23/1985	24.0	16.4	23.1		178	
6/24/1985	23.6	14.0	18.1		356	
6/25/1985	23.0	15.0	18.1		516	
6/26/1985	24.5	13.9	18.7	0	351	
6/27/1985	24.0	18.1	20.6		164	
6/28/1985	23.6	15.0	18.6		404	
6/29/1985	27.0	14.0	18.1		391	
6/30/1985	24.6	14.4	20.5	0.5080	244	
7/1/1985	24.1	14.0	17.3	0.0254	333	
7/2/1985	23.0	13.2	17.7	0.0508	365	
7/3/1985	24.4	13.5	19.6	0.7874	173	
7/4/1985	24.6	14.0	18.2	0	258	
7/5/1985	23.4	13.6	16.6	0.4064	418	
7/6/1985	23.8	12.4	17.3	1.1938	244	
7/7/1985	24.6	13.8	18.9	0	298	
7/8/1985	25.1	14.0	17.4	1.0922	418	
7/9/1985	24.0	13.7	19.2	0	289	
7/10/1985	22.4	13.0	16.7		533	
7/11/1985	23.2	14.4	18.3	0.9906	262	
7/12/1985	22.0	14.0	17.7	0.3048	129	
7/13/1985	18.6	14.8	16.9	0	98	
7/14/1985	21.0	14.6	17.3		369	
7/15/1985	22.0	14.5	18.2	0	316	
7/16/1985	23.2	13.4	18.3	2.0066	324	
7/17/1985	24.1	14.0	19.5	0.6096	231	
7/18/1985	23.2	15.8	20.5	0	196	
7/19/1985	23.3	12.7	20.6	1.9050	164	
7/20/1985	21.0	15.0	18.6	0.3048	169	
7/21/1985	23.4	14.8	16.6	0	187	
7/22/1985	22.8	14.2	18.2	0.5080	187	
7/23/1985	21.8	14.0	17.8	0.3048	244	
7/24/1985	21.8	14.0	17.8		244	
7/25/1985	23.0	21.0	22.2	0.2032	209	
7/26/1985	22.5	16.2	20.3	0	178	
7/27/1985	22.5	16.2	20.3		178	
7/28/1985	22.5	16.2	20.3		178	
7/29/1985	22.1	14.0	17.4	0.2032	316	
7/30/1985	22.1	14.0	17.4		316	
7/31/1985	21.9	13.7	17.9		373	
8/1/1985	22.3	15.2	18.5		285	
8/2/1985	21.4	14.5	18.6		196	
8/3/1985	20.2	14.6	16.6	0.0508	169	
8/4/1985	23.2	13.6	20.8	2.3114	311	
8/5/1985	23.2	14.3	19.2	0	622	
8/6/1985	24.6	13.5	19.2	0	427	
8/7/1985	25.0	15.0	20.1		351	
8/8/1985	22.9	14.7	20.3	0.5080	351	
8/9/1985	23.0	15.0	19.3	0	329	
8/10/1985	24.3	15.8	20.7		249	
8/11/1985	24.3	15.8	20.7		249	
8/12/1985	23.0	13.6	19.3	0.4064	311	
8/13/1985	24.7	14.9	19.1	0	422	
8/14/1985	22.2	14.4	16.8	0.6096	227	
8/15/1985	22.2	14.4	16.8		227	
8/16/1985	24.6	14.0	20.1		356	
8/17/1985	25.0	13.4	22.7		218	
8/18/1985	25.0	13.4	22.7		218	
8/19/1985	23.0	14.0	19.8		324	
8/20/1985	23.0	14.0	19.8		324	
8/21/1985	26.3	13.2	20.8	0	307	
8/22/1985	24.6	14.3	19.5		178	
8/23/1985	24.1	14.2	19.4	0.1016	285	
8/24/1985	25.2	14.0	18.2	0	178	
8/25/1985	23.0	14.9	18.8		276	
8/26/1985	24.0	19.7	22.9		244	
8/27/1985	24.0	14.0	19.9		351	
8/28/1985	23.6	15.3	18.4		253	
8/29/1985	23.6	14.0	17.7	0.3048	249	
8/30/1985	25.3	13.6	18.4	1.4986	324	
8/31/1985	24.1	14.8	19.9	0	271	
9/1/1985	25.0	14.5	19.4	0.6096	391	
9/2/1985	24.0	14.5	17.8	0.4064	351	
9/3/1985	24.0	13.3	19.3	3.4036	169	
9/4/1985	23.4	14.8	17.9	0	302	
9/5/1985	24.0	14.2	22.2	0.7874	213	
9/6/1985	23.0	15.8	19.4	0	244	
9/7/1985	24.0	15.0	19.0	0.4064	436	
9/8/1985	24.0	15.0	19.0		436	
9/9/1985	25.3	16.0	20.5		258	
9/10/1985	25.2	14.3	19.0	0.1016	409	
9/11/1985	25.0	15.0	19.6	0.6096	320	
9/12/1985	25.1	14.6	18.8	0.6096	147	
9/13/1985	23.4	15.6	19.1	0.5080	222	
9/14/1985	23.2	15.6	18.6	0	440	
9/15/1985	26.6	15.0	20.8	0.7112	227	
9/16/1985	25.2	14.7	21.4	0	249	
9/17/1985	27.1	15.0	19.9	0.0254	342	
9/18/1985	26.4	15.0	20.1	0.4064	253	
9/19/1985	24.0	15.3	17.9	0	231	
9/20/1985	25.0	16.4	20.4	1.8034	347	
9/21/1985	23.0	14.3	19.1	2.2098	258	
9/22/1985	24.6	15.1	19.9	0.2032	365	
9/23/1985	25.6	15.0	19.2	0	365	
9/24/1985	25.2	13.7	19.3		493	
9/25/1985	26.0	14.7	21.3	0.0508	302	
9/26/1985	25.8	14.7	20.3	1.3970	333	
9/27/1985	24.6	15.3	19.1	0.3048	267	
9/28/1985	26.0	14.0	18.8	0.3048	329	
9/29/1985	26.0	14.8	21.9	0	249	
9/30/1985	26.0	16.2	20.9	0.1016	249	
10/1/1985	26.0	14.5	20.5	0.3048	365	
10/2/1985	25.0	14.4	22.1	0	636	
10/3/1985	26.0	14.4	24.7		249	
10/4/1985	26.2	15.0	20.6		267	
10/5/1985	26.1	14.8	18.8	1.4986	533	
10/6/1985	25.0	16.2	19.7	0	480	
10/7/1985	25.0	16.2	19.7		480	
10/8/1985	24.9	15.4	19.1	0.1016	276	
10/9/1985	26.0	13.2	21.6	4.5974	289	
10/10/1985	23.5	15.7	21.0	0	618	
10/11/1985	23.3	14.9	18.9		329	
10/12/1985	26.0	15.0	19.2	0.3048	276	
10/13/1985	25.6	15.6	19.4	0.8890	302	
10/14/1985	22.0	15.2	21.0	0	147	
10/15/1985	25.1	15.0	20.3	0.5080	244	
10/16/1985	25.4	15.6	21.3	0	338	
10/17/1985	25.0	16.0	20.6		311	
10/18/1985	25.5	15.0	20.7	0.1016	213	
10/19/1985	25.0	16.0	18.3	0	311	
10/20/1985	25.0	15.6	20.8	0.1016	231	
10/21/1985	25.3	15.2	18.6	1.4986	298	
10/22/1985	24.6	15.0	19.7	0	342	
10/23/1985	25.0	15.1	19.1	1.4986	338	
10/24/1985	25.1	15.1	19.7	0	187	
10/25/1985	24.4	16.0	19.7		298	
10/26/1985	26.4	14.0	20.3	0.0508	489	
10/27/1985	27.5	14.3	21.1	0	320	
10/28/1985	26.0	15.9	18.2		707	
10/29/1985	26.6	15.0	20.4	0.0254	565	
10/30/1985	25.0	14.0	20.1	0.1016	316	
10/31/1985	26.0	13.8	21.7	0.0508	173	
11/1/1985	21.3	15.3	18.8	0	173	
11/2/1985	27.6	20.0	22.9		320	
11/3/1985	27.6	20.0	22.9		320	
11/4/1985	26.0	14.6	18.2		320	
11/5/1985	23.5	14.1	17.9	1.4986	156	
11/6/1985	22.6	14.3	17.4	0.9906	231	
11/7/1985	28.2	14.4	17.6	0.8890	129	
11/8/1985	23.0	13.8	18.2	2.4892	111	
11/9/1985	22.4	14.0	18.9	1.3970	129	
11/10/1985	23.0	16.6	17.9	0	98	
11/11/1985	22.0	14.4	20.2	1.9050	231	
11/12/1985	20.0	14.4	16.3	0.8890	80	
11/13/1985	23.0	14.5	19.8	3.0988	293	
11/14/1985	26.1	17.5	21.8	0	244	
11/15/1985	25.6	15.0	20.7	0.1016	311	
11/16/1985	26.0	15.0	19.7	0	147	
11/17/1985	27.5	15.8	20.9		236	
11/18/1985	25.0	16.0	18.7		333	
11/19/1985	24.0	15.7	21.4		187	
11/20/1985	24.0	15.5	20.4		200	
11/21/1985	26.4	14.5	21.6	1.6002	164	
11/22/1985	24.0	15.0	18.4	0.0508	258	
11/23/1985	23.2	16.0	18.7	0	120	
11/24/1985	23.6	15.0	17.8	0.1016	156	
11/25/1985	25.1	15.0	18.3	0	240	
11/26/1985	25.5	15.4	20.3		209	
11/27/1985	25.0	17.0	21.2	0.1016	164	
11/28/1985	26.4	16.0	22.2	0	116	
11/29/1985	25.0	14.4	19.9		111	
11/30/1985	23.3	15.0	17.4		124	
12/1/1985	23.2	15.2	19.8		227	
12/2/1985	23.2	15.2	19.8		227	
12/3/1985	24.2	15.0	19.3	1.2954	160	
12/4/1985	24.0	15.1	20.6	0	58	
12/5/1985	23.2	15.0	17.4	0.6096	191	
12/6/1985	26.0	15.0	19.9	0	111	
12/7/1985	26.0	15.4	20.8	0.1016	213	
12/8/1985	26.0	15.0	18.6	0	182	
12/9/1985	27.3	15.2	21.6		178	
12/10/1985	24.8	15.3	19.6		280	
12/11/1985	23.9	15.8	21.9		116	
12/12/1985	24.7	16.0	18.8		142	
12/13/1985	25.0	16.0	19.8	0.7874	236	
12/14/1985	26.5	14.0	20.1	0.7112	298	
12/15/1985	26.0	14.2	21.8	0	231	
12/16/1985	26.0	16.0	22.6		151	
12/17/1985	25.8	15.6	20.4		142	
12/18/1985	27.0	15.6	24.9		156	
12/19/1985	26.0	16.0	21.8	0.2032	84	
12/20/1985	22.0	17.0	18.2	0	84	
12/21/1985	24.0	15.0	19.8		191	
12/22/1985	25.4	15.5	22.1		182	
12/23/1985	25.6	14.9	21.2		253	
12/24/1985	26.1	14.8	19.7		369	
12/25/1985	27.0	15.9	23.9	0	196	
12/26/1985	20.1	16.0	17.2	0	253	
12/27/1985	20.1	16.0	17.2		253	
12/28/1985	20.1	16.0	17.2		253	
12/29/1985	27.5	18.0	22.7		138	
12/30/1985	27.5	18.0	22.7		138	
12/31/1985	27.5	18.0	22.7		138	
1/1/1986	21.0	14.5	17.1	0.6096	102	
1/2/1986	25.0	14.0	18.6	1.0922	124	
1/3/1986	25.2	15.4	19.7	0	147	
1/4/1986	24.5	15.6	21.4		204	
1/5/1986	25.0	14.9	23.1	0.4064	169	
1/6/1986	25.0	14.9	23.1		169	
1/7/1986	23.6	22.0	22.9		196	
1/8/1986	25.6	16.0	23.1		133	
1/9/1986	19.2	16.8	18.2		84	
1/10/1986	26.0	17.0	20.9		120	
1/11/1986	26.0	17.0	20.9		120	
1/12/1986	25.0	19.0	21.9		204	
1/13/1986	25.0	14.9	19.0		58	
1/14/1986	25.9	16.7	20.4		151	
1/15/1986	27.0	17.6	24.1		236	
1/16/1986	25.5	17.8	23.5		169	
1/17/1986	26.6	17.0	21.4		231	
1/18/1986	25.0	18.0	21.1		147	
1/19/1986	25.0	18.0	21.1		147	
1/20/1986	25.0	13.3	21.0		227	
1/21/1986	25.0	14.5	19.7		151	
1/22/1986	28.0	15.0	21.4		142	
1/23/1986	28.0	15.0	21.4		142	
1/24/1986	28.0	15.0	21.4		142	
1/25/1986	28.0	15.0	21.4		142	
1/26/1986	28.0	15.0	21.4		142	
1/27/1986	26.2	16.4	19.4		187	
1/28/1986	26.2	16.4	19.4		187	
1/29/1986	26.2	16.4	19.4		187	
1/30/1986	19.8	15.6	18.1	0	333	
1/31/1986	19.8	15.6	18.1		333	
2/1/1986	19.0	18.0	18.3		333	
2/2/1986	19.0	18.0	18.3		333	
2/3/1986	28.0	17.6	21.6		262	
2/4/1986	28.3	17.7	23.3	0	151	
2/5/1986	24.1	15.0	18.8		244	
2/6/1986	16.5	14.5	15.4	1.4986	129	
2/7/1986	16.5	14.5	15.4		129	
2/8/1986	24.0	17.0	20.2	0	98	
2/9/1986	24.0	17.0	20.2		98	
2/10/1986	26.5	19.0	23.3		200	
2/11/1986	25.0	15.9	20.4		289	
2/12/1986	25.0	15.9	20.4		289	
2/13/1986	23.9	17.0	18.3		31	
2/14/1986	24.0	16.0	21.1		298	
2/15/1986	27.2	15.5	19.7		365	
2/16/1986	28.5	19.0	25.2		151	
2/17/1986	25.4	14.7	20.5	0.2032	213	
2/18/1986	25.8	21.0	23.7	0	173	
2/19/1986	26.0	16.0	19.7		164	
2/20/1986	29.4	16.0	20.7		156	
2/21/1986	29.0	21.6	25.7		276	
2/22/1986	28.0	21.6	26.5		231	
2/23/1986	28.0	21.6	26.5		231	
2/24/1986	26.8	23.0	24.7		213	
2/25/1986	28.0	17.4	23.3		133	
2/26/1986	32.0	17.0	22.9	0.0508	249	
2/27/1986	32.0	17.0	22.9		249	
2/28/1986	25.2	15.0	21.1	0.5080	169	
3/1/1986	28.0	15.0	27.6	0	324	
3/2/1986	27.0	16.6	23.6		347	
3/3/1986	29.0	18.0	23.6		240	
3/4/1986	23.0	15.8	18.9		231	
3/5/1986	23.8	14.2	19.3	0.8890	89	
3/6/1986	24.6	15.5	19.3	0	236	
3/7/1986	20.5	14.5	16.8	2.7940	173	
3/8/1986	25.0	14.5	22.9	3.2004	191	
3/9/1986	25.0	16.0	20.3	0	209	
3/10/1986	25.0	17.0	20.9		124	
3/11/1986	25.0	17.0	20.9		124	
3/12/1986	28.0	23.0	26.2		285	
3/13/1986	27.0	17.0	23.7		249	
3/14/1986	29.0	16.7	25.5		218	
3/15/1986	27.4	16.7	25.8		280	
3/16/1986	25.6	15.0	19.2	0.4064	164	
3/17/1986	23.3	15.7	16.6	0	178	
3/18/1986	26.0	20.0	23.1		147	
3/19/1986	26.2	19.0	22.7		178	
3/20/1986	23.0	16.0	19.7		129	
3/21/1986	23.6	14.5	17.8	1.7018	111	
3/22/1986	23.6	14.6	20.8	0.7112	204	
3/23/1986	26.6	16.0	20.9	0	253	
3/24/1986	27.1	14.6	21.3		293	
3/25/1986	24.0	15.5	19.2		84	
3/26/1986	27.5	15.5	20.8		204	
3/27/1986	23.9	16.5	19.2		489	
3/28/1986	19.0	15.0	16.8		204	
3/29/1986	25.6	16.0	18.3		489	
3/30/1986	25.0	17.8	21.0		329	
3/31/1986	19.9	15.3	17.3	0.7874	116	
4/1/1986	26.2	15.8	21.0	0.2032	160	
4/2/1986	26.2	15.8	21.0		160	
4/3/1986	26.2	15.8	21.0		160	
4/4/1986	26.5	16.0	20.9	0.1016	200	
4/5/1986	27.0	15.2	20.8	0	324	
4/6/1986	24.0	16.8	21.7		98	
4/7/1986	25.7	16.5	21.1	0.8890	160	
4/8/1986	23.5	16.0	17.7	0	111	
4/9/1986	19.0	15.0	17.4	6.7056	76	
4/10/1986	24.1	14.3	19.2	0.8890	160	
4/11/1986	26.0	15.6	20.1	0	307	
4/12/1986	24.0	15.1	19.2	0	156	
4/13/1986	26.0	15.5	19.7	2.4892	129	
4/14/1986	26.2	16.0	19.6	0.3048	302	
4/15/1986	33.4	15.5	20.7	1.6002	209	
4/16/1986	26.2	16.5	19.7	0.4064	320	
4/17/1986	26.0	14.5	21.8	0.3048	280	
4/18/1986	27.0	15.9	20.3	0.2032	253	
4/19/1986	24.6	16.0	18.7	1.6002	116	
4/20/1986	25.1	16.8	21.8	3.8100	200	
4/21/1986	24.5	15.1	18.8	0.6096	276	
4/22/1986	22.0	15.8	18.8	0.6096	98	
4/23/1986	26.1	17.0	20.8	0.1016	191	
4/24/1986	24.0	15.5	18.6	1.1938	89	
4/25/1986	25.0	15.3	18.8	3.2004	200	
4/26/1986	25.0	14.9	16.2	2.8956	169	
4/27/1986	23.1	15.1	20.1	0.6096	138	
4/28/1986	23.0	15.0	18.9	0	253	
4/29/1986	23.1	14.7	20.2	3.7084	142	
4/30/1986	25.0	16.0	20.8	0	76	
5/1/1986	25.0	18.5	21.7		133	
5/2/1986	23.0	16.0	18.1	0.0508	351	
5/3/1986	23.0	16.0	18.1		351	
5/4/1986	23.0	16.0	18.1		351	
5/5/1986	23.0	16.0	18.1		351	
5/6/1986	20.6	15.0	15.6		187	
5/7/1986	22.6	14.8	17.6	0.8890	178	
5/8/1986	24.9	15.2	19.4	2.7940	142	
5/9/1986	25.8	16.0	20.9	0.2032	365	
5/10/1986	24.8	15.0	20.1	0.0254	187	
5/11/1986	25.1	16.0	20.3	0.8890	382	
5/12/1986	26.0	15.5	20.9	0	356	
5/13/1986	26.0	15.3	20.8	0.4064	280	
5/14/1986	25.0	16.0	18.2	0	356	
5/15/1986	25.0	15.5	18.3	2.9972	178	
5/16/1986	23.5	13.5	18.7	13.0048	196	
5/17/1986	25.1	15.7	20.4	0	378	
5/18/1986	24.5	16.0	21.3		253	
5/19/1986	24.0	15.8	20.7	0	565	
5/20/1986	24.0	15.3	19.7		453	
5/21/1986	24.0	14.5	19.1	0.7874	356	
5/22/1986	27.0	15.0	19.4	0	538	
5/23/1986	22.8	16.0	19.9		382	
5/24/1986	23.4	16.0	18.9		360	
5/25/1986	24.2	15.5	19.6	1.2954	298	
5/26/1986	25.4	15.6	18.6	0.0254	489	
5/27/1986	24.0	15.0	19.6	0	427	
5/28/1986	25.2	14.4	19.2	0.0254	311	
5/29/1986	23.0	15.8	19.9	0	413	
5/30/1986	23.0	15.8	19.3	0	676	
5/31/1986	25.6	14.0	18.7	0	360	
6/1/1986	23.5	15.0	18.1		231	
6/2/1986	27.4	15.4	18.6	0.1016	498	
6/3/1986	25.1	14.0	20.3	0	218	
6/4/1986	26.0	16.0	20.9	0	209	
6/5/1986	24.2	14.3	21.4	0.0254	182	
6/6/1986	23.7	16.0	17.1	0	231	
6/7/1986	25.0	14.9	18.6	0.7874	378	
6/8/1986	22.6	14.8	16.7	1.1938	578	
6/9/1986	21.3	15.2	17.1	0.0508	244	
6/10/1986	23.0	14.2	18.4	0.3048	138	
6/11/1986	23.2	14.0	20.1	0	267	
6/12/1986	23.3	15.0	17.0	0.3048	120	
6/13/1986	23.3	15.0	17.0		120	
6/14/1986	23.3	15.0	17.0		120	
6/15/1986	23.3	15.0	17.0		120	
6/16/1986	21.2	16.2	18.9		89	
6/17/1986	19.3	15.6	17.3	0	178	
6/18/1986	20.1	16.4	18.4	0	62	
6/19/1986	23.0	15.0	18.6		240	
6/20/1986	24.0	15.0	20.3		196	
6/21/1986	24.0	15.0	20.3		196	
6/22/1986	24.0	15.0	20.3		196	
6/23/1986	21.0	13.2	17.7	5.9944	276	
6/24/1986	24.0	14.7	20.9	0.0254	236	
6/25/1986	24.0	14.7	20.9		236	
6/26/1986	23.3	15.5	19.4		187	
6/27/1986	23.3	15.5	19.4		187	
6/28/1986	24.0	15.5	23.1		107	
6/29/1986	24.0	17.2	21.8		196	
6/30/1986	23.1	14.5	18.9		227	
7/1/1986	23.1	14.5	18.9		227	
7/2/1986	23.1	14.5	18.9		227	
7/3/1986	24.0	14.5	23.3		182	
7/4/1986	24.0	14.5	23.3		182	
7/5/1986	24.0	16.6	21.8		209	
7/6/1986	25.0	18.0	21.4		200	
7/7/1986	24.0	14.0	19.4		262	
7/8/1986	24.2	13.9	20.4	0.3048	222	
7/9/1986	23.0	13.8	20.6	1.9050	196	
7/10/1986	24.5	15.0	19.9	0	222	
7/11/1986	24.3	15.0	19.7	0.0254	258	
7/12/1986	24.1	16.2	20.4	0	84	
7/13/1986	24.4	16.0	18.0		71	
7/14/1986	22.0	14.3	18.1	0.2032	156	
7/15/1986	23.0	15.0	20.8	1.0922	182	
7/16/1986	24.0	15.0	19.7	0.7874	222	
7/17/1986	21.0	15.3	18.2	0.1016	191	
7/18/1986	25.0	14.0	21.1	0	240	
7/19/1986	25.0	14.0	21.1		240	
7/20/1986	23.0	13.8	16.9	2.3876	191	
7/21/1986	24.2	12.6	15.6	0	524	
7/22/1986	23.0	14.0	17.6		467	
7/23/1986	24.0	15.0	18.6		391	
7/24/1986	24.0	15.0	18.6		391	
7/25/1986	24.2	17.2	22.4		160	
7/26/1986	24.0	15.5	19.7		187	
7/27/1986	23.0	14.2	19.1	0	213	
7/28/1986	22.5	14.6	19.4		240	
7/29/1986	22.5	14.0	14.4		756	
7/30/1986	22.0	13.0	19.1		240	
7/31/1986	22.0	14.1	17.7	0.4064	289	
8/1/1986	22.0	14.1	17.7		289	
8/2/1986	22.0	14.1	17.7		289	
